x,y
0.0,1.0
0.309017,0.95105654
0.58778524,0.809017
0.809017,0.58778524
0.95105654,0.30901697
1.0,-4.371139e-08
0.9510565,-0.30901703
0.809017,-0.5877852
0.5877852,-0.80901706
0.30901703,-0.9510565
-8.742278e-08,-1.0
-0.30901697,-0.95105654
-0.58778536,-0.80901694
-0.8090171,-0.58778507
-0.9510565,-0.3090171
-1.0,1.1924881e-08
-0.9510565,0.30901712
-0.8090171,0.58778507
-0.5877853,0.80901694
-0.30901694,0.95105654
1.7484555e-07,1.0
0.30901682,0.9510566
0.58778524,0.809017
0.80901706,0.5877852
0.9510566,0.3090168
1.0,1.3907092e-07
0.95105636,-0.30901745
0.8090172,-0.58778495
0.5877854,-0.8090169
0.3090171,-0.9510565
-2.3849761e-08,-1.0
-0.30901715,-0.9510565
-0.5877855,-0.8090168
-0.80901724,-0.58778495
-0.95105636,-0.3090174
-1.0,-2.900667e-07
-0.95105654,0.30901685
-0.809017,0.58778524
-0.5877852,0.80901706
-0.3090168,0.9510566
3.496911e-07,1.0
0.30901656,0.95105666
0.58778495,0.8090172
0.8090169,0.5877854
0.9510565,0.3090171
1.0,-3.577464e-08
0.9510565,-0.30901715
0.8090168,-0.5877855
0.5877849,-0.80901724
0.3090174,-0.95105636
2.7814184e-07,-1.0
-0.30901775,-0.95105624
-0.587786,-0.80901647
-0.8090165,-0.58778596
-0.9510563,-0.3090177
-1.0,-5.920583e-07
-0.95105666,0.30901656
-0.8090172,0.587785
-0.5877854,0.8090169
-0.30901706,0.9510565
4.7699523e-08,1.0
0.30901715,0.9510565
0.5877855,0.8090168
0.80901724,0.5877849
0.9510567,0.30901647
1.0,-6.874574e-07
0.95105624,-0.30901778
0.80901647,-0.587786
0.5877859,-0.8090165
0.30901766,-0.9510563
5.801334e-07,-1.0
-0.30901656,-0.95105666
-0.587785,-0.8090172
-0.8090169,-0.5877854
-0.9510565,-0.30901706
-1.0,5.9624405e-08
-0.9510565,0.30901718
-0.8090168,0.5877855
-0.5877849,0.80901724
-0.30901644,0.9510567
6.993822e-07,1.0
0.30901778,0.95105624
0.58778447,0.80901754
0.8090165,0.5877859
0.9510563,0.30901766
1.0,5.682086e-07
0.95105666,-0.3090166
0.8090172,-0.587785
0.5877854,-0.8090169
0.30901706,-0.9510565
-7.154928e-08,-1.0
-0.30901718,-0.9510565
-0.58778554,-0.8090168
-0.80901724,-0.5877849
-0.9510567,-0.30901644
-1.0,7.113071e-07
-0.95105624,0.3090178
-0.80901754,0.58778447
-0.5877859,0.8090165
-0.30901766,0.9510563
-5.562837e-07,1.0
0.3090166,0.95105666
0.58778656,0.80901605
0.809018,0.5877839
0.9510571,0.3090152
1.0,1.8238744e-06
0.951057,-0.3090154
0.8090179,-0.587784
0.58778644,-0.80901617
0.30901825,-0.9510561
1.1841166e-06,-1.0
-0.309016,-0.95105684
-0.5877845,-0.80901754
-0.8090165,-0.5877859
-0.9510563,-0.30901763
-1.0,-5.443588e-07
-0.95105666,0.3090166
-0.8090172,0.587785
-0.58778536,0.8090169
-0.30901703,0.9510565
9.5399045e-08,1.0
0.3090172,0.9510564
0.58778554,0.80901676
0.8090173,0.5877849
0.9510567,0.3090164
1.0,-7.351569e-07
0.95105624,-0.3090178
0.8090164,-0.5877861
0.58778435,-0.80901766
0.3090158,-0.9510569
-1.3749147e-06,-1.0
-0.30901843,-0.95105606
-0.58778656,-0.80901605
-0.809018,-0.5877838
-0.9510571,-0.3090152
-1.0,-1.8000247e-06
-0.951057,0.3090154
-0.8090179,0.587784
-0.5877864,0.80901617
-0.30901822,0.9510561
-1.1602668e-06,1.0
0.30901602,0.95105684
0.5877845,0.80901754
0.8090165,0.5877859
0.9510563,0.3090176
1.0,5.2050905e-07
0.95105666,-0.30901662
0.8090171,-0.58778507
0.58778536,-0.80901694
0.309017,-0.95105654
-1.1924881e-07,-1.0
-0.30901724,-0.9510564
-0.58778554,-0.80901676
-0.8090173,-0.5877848
-0.9510567,-0.3090164
-1.0,7.5900664e-07
-0.95105624,0.30901784
-0.8090164,0.5877861
-0.58778435,0.80901766
-0.30901578,0.9510569
1.3987644e-06,1.0
0.30901843,0.95105606
0.5877866,0.80901605
0.809018,0.5877838
0.95105594,0.3090188
1.0,1.7761749e-06
0.951057,-0.30901542
0.8090179,-0.58778405
0.5877864,-0.80901617
0.3090182,-0.9510561
1.1364172e-06,-1.0
-0.30901605,-0.95105684
-0.5877845,-0.80901754
-0.8090165,-0.58778584
-0.9510563,-0.3090176
-1.0,-4.9665925e-07
-0.95105666,0.30901664
-0.8090171,0.58778507
-0.58778536,0.80901694
-0.30901697,0.95105654
1.4309856e-07,1.0
0.30901724,0.9510564
0.5877856,0.80901676
0.8090173,0.5877848
0.9510567,0.30901638
1.0,-7.828564e-07
0.95105624,-0.30901787
0.8090164,-0.5877861
0.5877843,-0.80901766
0.30901575,-0.9510569
-1.4226142e-06,-1.0
-0.30901846,-0.95105606
-0.5877866,-0.809016
-0.8090181,-0.5877838
-0.95105594,-0.3090188
-1.0,-1.7523251e-06
-0.951057,0.30901545
-0.8090179,0.58778405
-0.5877864,0.80901617
-0.30901816,0.9510561
-1.1125674e-06,1.0
0.30901605,0.95105684
0.5877846,0.8090175
0.8090166,0.58778584
0.9510575,0.30901393
1.0,4.7280952e-07
0.95105547,-0.30902028
0.8090171,-0.58778507
0.58778226,-0.8090192
0.30901694,-0.95105654
3.6477488e-06,-1.0
-0.30901727,-0.9510564
-0.5877825,-0.80901897
-0.8090173,-0.5877848
-0.9510555,-0.30901998
-1.0,8.0670617e-07
-0.95105743,0.30901426
-0.80901635,0.58778614
-0.5877874,0.80901545
-0.30901575,0.9510569
-2.3682333e-06,1.0
0.3090185,0.951056
0.5877835,0.80901825
0.8090181,0.58778375
0.95105594,0.30901876
1.0,-2.086222e-06
0.951057,-0.30901548
0.80901563,-0.58778715
0.5877863,-0.8090162
0.30901453,-0.9510573
1.0887176e-06,-1.0
-0.3090197,-0.95105565
